PMID            | GT    | Pred  | TP   
---------------------------------------------
25847295        | 53    | 17    | 3    
26876532        | 74    | 16    | 5    
27059693        | 61    | 12    | 1    
27117874        | 62    | 8     | 3    
27172917        | 48    | 16    | 6    
27233131        | 74    | 12    | 3    
27234220        | 48    | 9     | 1    
27235559        | 31    | 7     | 1    
27235789        | 56    | 13    | 4    
27237609        | 37    | 7     | 1    
27239541        | 46    | 7     | 2    
27241291        | 63    | 13    | 1    
27241818        | 126   | 23    | 3    
27242550        | 98    | 22    | 7    
27245335        | 70    | 18    | 7    
27249559        | 53    | 13    | 1    
27251800        | 66    | 17    | 1    
27252199        | 67    | 25    | 3    
27257056        | 59    | 15    | 3    
27259647        | 57    | 14    | 5    
27260627        | 49    | 10    | 2    
27261587        | 98    | 23    | 10   
27261783        | 37    | 8     | 0    
27266283        | 50    | 14    | 4    
27266878        | 40    | 6     | 2    
27273231        | 45    | 8     | 2    
27273307        | 68    | 8     | 5    
27274524        | 31    | 7     | 1    
27274893        | 44    | 10    | 2    
27280034        | 55    | 9     | 3    
27280525        | 29    | 7     | 1    
27282845        | 35    | 9     | 3    
27286118        | 46    | 12    | 2    
27286174        | 84    | 10    | 1    
27288457        | 62    | 23    | 6    
27291966        | 57    | 22    | 8    
27292374        | 31    | 5     | 1    
27297523        | 52    | 18    | 7    
27297967        | 91    | 14    | 3    
27298278        | 49    | 11    | 2    
27299916        | 58    | 9     | 5    
27300947        | 26    | 4     | 0    
27301681        | 54    | 9     | 2    
27304832        | 52    | 15    | 5    
27306834        | 73    | 14    | 4    
27309274        | 46    | 11    | 2    
27310615        | 85    | 29    | 8    
27311447        | 36    | 12    | 1    
27317610        | 91    | 17    | 8    
27320055        | 91    | 13    | 1    
27320863        | 96    | 19    | 9    
27321892        | 50    | 13    | 4    
27325393        | 61    | 18    | 3    
27325547        | 54    | 17    | 3    
27326810        | 33    | 10    | 2    
27328333        | 32    | 10    | 1    
27329050        | 66    | 8     | 1    
27333847        | 54    | 9     | 0    
27334471        | 55    | 15    | 1    
27334669        | 54    | 12    | 2    
27335087        | 128   | 30    | 12   
27336239        | 55    | 10    | 0    
27337055        | 47    | 10    | 1    
27340777        | 71    | 17    | 6    
27342634        | 61    | 8     | 2    
27342978        | 92    | 14    | 4    
27343229        | 45    | 10    | 0    
27343573        | 40    | 8     | 3    
27346839        | 75    | 18    | 2    
27347668        | 51    | 17    | 1    
27349182        | 73    | 24    | 1    
27349365        | 38    | 5     | 0    
27350860        | 53    | 10    | 2    
27352476        | 38    | 12    | 2    
27354201        | 56    | 18    | 5    
27354236        | 53    | 23    | 10   
27355340        | 70    | 19    | 0    
27355434        | 49    | 10    | 6    
27356521        | 73    | 7     | 3    
27356693        | 26    | 9     | 3    
27357394        | 44    | 11    | 0    
