PMID            | GT    | Pred  | TP   
---------------------------------------------
25847295        | 53    | 11    | 2    
26876532        | 74    | 14    | 5    
27059693        | 61    | 7     | 1    
27117874        | 62    | 8     | 1    
27172917        | 48    | 13    | 2    
27233131        | 74    | 5     | 4    
27234220        | 48    | 10    | 0    
27235559        | 31    | 6     | 0    
27235789        | 56    | 7     | 3    
27237609        | 37    | 7     | 1    
27239541        | 46    | 4     | 1    
27241291        | 63    | 8     | 1    
27241818        | 126   | 16    | 2    
27242550        | 98    | 16    | 1    
27245335        | 70    | 12    | 5    
27249559        | 53    | 10    | 0    
27251800        | 66    | 12    | 0    
27252199        | 67    | 10    | 1    
27257056        | 59    | 7     | 0    
27259647        | 57    | 8     | 5    
27260627        | 49    | 9     | 2    
27261587        | 98    | 20    | 2    
27261783        | 37    | 8     | 0    
27266283        | 50    | 11    | 5    
27266878        | 40    | 6     | 1    
27273231        | 45    | 7     | 1    
27273307        | 68    | 14    | 3    
27274524        | 31    | 6     | 1    
27274893        | 44    | 11    | 1    
27280034        | 55    | 4     | 1    
27280525        | 29    | 7     | 0    
27282845        | 35    | 7     | 2    
27286118        | 46    | 10    | 2    
27286174        | 84    | 9     | 0    
27288457        | 62    | 15    | 5    
27291966        | 57    | 18    | 9    
27292374        | 31    | 6     | 1    
27297523        | 52    | 20    | 5    
27297967        | 91    | 12    | 3    
27298278        | 49    | 10    | 2    
27299916        | 58    | 6     | 3    
27300947        | 26    | 5     | 0    
27301681        | 54    | 8     | 0    
27304832        | 52    | 8     | 4    
27306834        | 73    | 11    | 3    
27309274        | 46    | 13    | 4    
27310615        | 85    | 14    | 6    
27311447        | 36    | 7     | 0    
27317610        | 91    | 15    | 0    
27320055        | 91    | 10    | 0    
27320863        | 96    | 17    | 9    
27321892        | 50    | 9     | 2    
27325393        | 61    | 15    | 0    
27325547        | 54    | 13    | 1    
27326810        | 33    | 9     | 2    
27328333        | 32    | 10    | 1    
27329050        | 66    | 9     | 1    
27333847        | 54    | 12    | 1    
27334471        | 55    | 13    | 0    
27334669        | 54    | 6     | 1    
27335087        | 128   | 33    | 6    
27336239        | 55    | 10    | 0    
27337055        | 47    | 8     | 1    
27340777        | 71    | 13    | 4    
27342634        | 61    | 8     | 0    
27342978        | 92    | 10    | 0    
27343229        | 45    | 7     | 0    
27343573        | 40    | 11    | 3    
27346839        | 75    | 18    | 4    
27347668        | 51    | 9     | 1    
27349182        | 73    | 25    | 2    
27349365        | 38    | 5     | 2    
27350860        | 53    | 9     | 0    
27352476        | 38    | 9     | 0    
27354201        | 56    | 9     | 3    
27354236        | 53    | 12    | 9    
27355340        | 70    | 11    | 1    
27355434        | 49    | 12    | 7    
27356521        | 73    | 6     | 2    
27356693        | 26    | 7     | 3    
27357394        | 44    | 8     | 0    
27358525        | 47    | 4     | 0    
27358905        | 40    | 6     | 0    
27364111        | 53    | 10    | 2    
27366176        | 40    | 9     | 3    
27366491        | 70    | 11    | 1    
27366556        | 29    | 9     | 2    
27370179        | 32    | 2     | 0    
27371369        | 62    | 6     | 1    
27371817        | 54    | 9     | 2    
27372076        | 57    | 10    | 2    
27372861        | 86    | 9     | 4    
27373429        | 69    | 12    | 1    
27373772        | 84    | 23    | 1    
27375774        | 43    | 7     | 1    
27378175        | 51    | 10    | 2    
27379139        | 57    | 17    | 5    
27383174        | 25    | 6     | 3    
27383326        | 53    | 9     | 2    
27384489        | 34    | 12    | 1    
27384676        | 64    | 17    | 6    
27388630        | 22    | 15    | 0    
27388786        | 58    | 19    | 1    
